CR560Q03TT,CR560Q08TT,CR565Q02TT,CR565Q05TT,CR455Q02TT,CR544Q10TT,CR544Q13TT,CR551Q01TT,CR551Q09TT,CR551Q11TT,CR551Q05TT,CR551Q08TT
200705,43013,75944,46349,83934,240847,83571,154212,12075,111842,51166,144497
153835,27917,160273,103399,153733,180825,222295,103102,45248,99476,96906,43363
147265,27590,109923,64817,112941,142448,191621,126954,22569,151372,56407,69023
35426,53757,81363,107674,123001,59145,106097,48550,31019,94397,64194,54597
79168,139756,220517,167107,73882,152139,48634,136622,8843,71885,83400,104635
182020,34140,67771,33277,47550,183808,54832,190957,27792,70961,27242,80592
140941,21155,82845,82215,76805,221959,40571,97172,18300,81675,59829,104729
207535,29644,95615,57455,124266,251917,82156,184672,20741,219254,69395,98001
141645,29687,124271,62558,62315,162843,86543,66169,43899,107227,71444,71760
58511,30484,200399,113160,121576,249001,72347,182791,27558,91733,47649,15909
152711,39381,126065,87190,101003,158070,121899,181786,44359,237357,28581,103119
157125,25224,94343,72359,93070,48748,187124,51314,55822,89333,81974,81815
83169,18032,122306,67472,135897,28270,65270,74932,36637,40755,46849,42790
159711,18252,53435,32985,66134,208522,92639,170435,44013,61132,30154,44796
165576,48100,113092,102341,123800,185650,240401,83714,49026,211388,142218,46358
100306,47517,76956,57924,115625,70297,243946,90547,37551,163333,83298,62983
17475,74845,61163,43697,77114,160608,40451,164376,56908,66812,34185,45069
145450,21576,211903,64602,128762,144739,117954,70875,25606,34033,39468,22687
155803,29888,146652,51029,134507,264018,102989,241745,34095,77816,127009,71023
137033,43067,106642,53465,132016,133916,130264,114162,40253,38639,57420,43255
68259,47041,49453,76610,86903,100562,106183,88177,14374,233691,77810,63953
83803,56705,95298,95081,84789,210888,85736,145591,15647,185461,35225,98329
167697,64465,170328,124344,174867,36081,45116,90730,66961,29548,147344,81902
105046,76604,79102,61414,105732,133141,276857,168438,29604,99702,54537,150071
179586,64615,218915,120486,65164,185385,119209,27813,39347,62307,69164,82095
52440,68495,113459,83069,41888,92596,155017,87533,45555,111104,109063,53331
41387,42498,135988,96801,110837,62079,54155,75526,20621,286380,71944,67555
132256,18056,223250,56398,230771,196264,76008,121487,11803,101797,108516,95801
189484,28968,133248,99660,93713,227813,101378,160644,20963,145097,43515,101933
33339,23688,69557,23935,76027,177629,41553,48704,45751,77546,100127,39153
189527,45030,112586,138517,180171,192434,110565,133649,13023,54135,33822,89316
132783,111391,114909,63839,145171,201456,106245,43126,19279,97508,185153,116562
54887,68087,167463,72347,140490,143163,93157,22704,22805,45930,42750,51636
68746,57164,83057,103728,79185,89304,101070,63307,30391,194247,46930,36178
105635,57446,110329,53167,130583,55217,114831,83506,73544,165505,42979,81368
180398,24736,103322,85178,136128,177310,194336,134553,12737,57709,44195,10934
153726,98661,188317,45376,98879,105334,154054,121947,47026,141230,62666,53640
235513,61833,154242,132330,152737,83326,50250,107067,41058,42797,58367,54028
117178,16890,135533,78665,81896,28535,24870,53113,33973,35160,142341,32032
154983,19215,149009,74136,125263,180881,160797,188896,39731,34389,75562,36080
201533,24341,101841,67996,95725,145743,87646,222218,8921,48784,41922,96994
24669,33022,146184,90273,76499,21930,7071,21493,16169,56599,98939,21471
191405,183909,167597,307010,110417,99286,187939,142028,63460,90956,44217,18288
88116,35501,144779,88777,74953,105749,118233,20726,31716,74157,78438,37437
59186,30515,98954,109234,63838,138772,55606,102264,9257,148609,80039,72282
129891,76763,120847,102914,144163,177308,79965,36343,12972,30838,67734,49169
81421,137212,273134,95278,203297,130703,97215,53412,51564,76890,115288,69170
158756,17451,64016,57905,113307,173949,78280,117896,9031,45733,46576,88338
115910,20047,158947,123280,107800,123227,134518,73066,30236,38164,61860,46254
164259,32393,173916,135805,196447,164928,19479,95796,10905,32410,38453,80973
82053,19647,399465,187929,105370,144957,110062,89493,25346,91801,71473,72505
111742,80691,189383,136316,273582,119942,137214,58138,25836,45052,68779,26833
25146,27545,98561,81371,39754,18307,137583,92864,49326,178576,60957,74809
181447,35373,168700,150224,179797,46657,62881,75004,17901,43843,80530,17040
72429,78060,64452,25235,72283,21602,33963,67133,63863,33396,20700,15341
102053,51484,196103,127507,218737,213120,124412,119700,16211,84175,47291,50731
162787,26932,124979,141410,144252,59613,69826,106718,32327,19774,35959,48499
230125,34209,128118,78662,163781,40345,135123,52661,45218,91249,82523,49375
99149,53156,124223,107084,127849,97843,141234,60636,32390,84053,91915,61742
169124,30700,88601,77999,82937,35705,171426,47938,26436,54288,35745,32606
136800,46014,187869,97204,353644,51562,206322,57483,36681,91860,109398,37995
68015,71267,115388,98258,154757,119433,66106,114748,32476,52088,49307,57597
218826,23548,45005,16366,16700,288267,200875,164767,25952,68650,53754,82525
167351,28038,199948,138083,149720,17872,81806,84603,33636,120383,63500,58917
120623,69630,100124,38720,82698,49362,33898,27377,21812,72839,126107,60171
103114,76952,125446,66138,54179,94318,56222,55177,7524,99326,36094,65139
145305,32723,175797,112482,168673,149583,110296,123419,13540,233225,73908,94116
224579,129930,223957,141564,79273,73146,48425,88596,43455,97609,64967,47215
126599,52331,84442,129257,86561,266885,41169,223288,14618,35744,56221,18194
206075,20565,166338,47934,85180,169942,156302,137719,34012,73331,61665,36596
45225,29137,115931,51237,121862,15245,57486,37056,4772,65094,28246,8862
338065,38402,172496,77281,125587,121935,163409,33085,10354,33316,69530,67857
308050,40631,317832,190972,319221,80209,186179,163005,35218,222487,141929,135064
126328,15568,87932,53629,77863,141125,136011,234099,20627,43012,22768,39208
117040,56022,162296,50458,53702,127839,73545,55171,26613,282872,80371,62063
62404,25573,115612,78848,90209,82149,204826,87336,52956,105795,62990,68529
131483,33706,170248,189448,91294,190099,180439,104594,31850,19403,66474,70401
142618,40412,83740,65488,64740,151780,65954,123615,19967,52270,45777,63284
37612,60516,80138,148191,65779,38856,167542,127704,81251,96856,55897,33243
170969,116846,128344,131971,139678,226961,97863,200295,60625,38417,62976,154311
83630,82156,185884,61028,115402,78021,122731,110430,59320,60365,119639,38083
96454,154773,170137,137302,143894,138693,182608,71523,44650,59338,47205,59118
152947,44083,146138,75416,90289,172338,21654,169066,37833,61676,83833,99053
104349,63064,235523,74355,191473,77358,108371,50362,22804,307101,33400,119193
79970,26207,86715,59806,135043,110633,119849,124424,17711,138861,34378,83270
235450,53134,85247,61975,60720,187524,99646,147901,30956,101474,78094,138861
120524,30499,184256,161362,151539,19651,13954,96791,35687,89190,90906,41831
122507,57212,133250,69119,122260,220638,78317,101800,14018,105178,64367,120736
87563,60371,203129,115675,103177,17110,49706,34954,12048,144513,61807,53387
178305,23053,97397,127697,92289,150430,51663,125848,9884,174089,59497,90662
139363,34995,208031,202253,56746,26737,19308,61949,24429,49092,89322,31108
125651,63182,165425,157810,204049,152178,68454,29635,33886,61601,101561,66031
58610,42021,92620,177703,51241,51270,60967,37342,27389,46009,69864,99639
64110,63150,58603,112654,77866,81521,136942,69310,24708,191507,48342,180904
204978,47542,101373,143062,121054,262027,74766,63016,17483,52081,72853,161503
141978,91342,79470,67504,44474,88852,71399,235221,12981,90836,82551,51803
208542,32338,291977,118500,116226,87863,117752,75852,29322,111588,48030,89531
134776,72048,122126,72938,101477,104961,44426,138054,66066,79995,37871,76685
286384,46437,280134,74779,148129,218695,95328,175740,34989,15585,39235,20960
52325,29118,110462,60091,71140,117121,45163,59334,9256,101657,22038,53747
56908,83113,176960,107704,163321,225430,217082,78194,12612,159316,100863,80558
57676,38234,96708,179350,138257,42602,116828,67870,58622,259463,72925,39439
58254,43264,63523,68748,123246,32420,75279,73926,5951,70207,83901,5732
82530,18708,314847,127834,80776,108591,96512,102093,20836,218221,55389,51744
56336,55331,135686,94193,91705,32177,87976,35128,21075,471020,74471,71167
65593,8109,56141,9706,14460,4591,15319,17643,3601,21181,7832,3298
233756,30257,166237,64747,103468,196775,93859,124591,20921,244536,133768,72815
245483,35873,103361,69986,120351,75870,140941,61621,20026,25729,49647,20348
144611,58379,233462,138202,99491,42988,115925,81465,9747,81511,57160,45326
89077,44760,115455,52995,84134,54740,130668,78057,33927,82101,51710,69812
71697,42982,153162,237592,121655,23958,119072,129400,82068,107236,133534,45683
160487,65528,87108,141257,278098,56596,89616,57853,54678,160129,77780,62157
133140,51259,187650,33387,130758,160752,127349,113658,34180,50099,97175,106778
44631,43984,90876,62554,46324,49501,64836,89465,17653,45440,48786,47519
70958,116978,130529,143299,138520,124529,106240,32400,59518,74322,81440,69394
250396,80416,225710,123336,156517,110699,55144,47715,22045,106583,66720,30889
138588,24666,100980,92938,51723,139101,112091,104929,12102,117386,61115,53727
60892,65439,80112,72093,107764,119771,93862,79199,82884,119200,87375,64212
131140,98926,265389,170666,194384,90515,127255,107607,45224,153109,34748,93726
75314,40865,160238,91221,58175,94426,80341,85143,42024,172079,113004,40654
145735,32934,154947,94509,112666,176593,43195,144414,11895,363573,57022,151930
68016,65307,107580,91086,107423,46461,126989,52161,48205,85177,39338,78515
45214,27443,160632,21899,48475,24398,67391,33320,64733,127686,49661,18496
31994,41769,131173,51663,173531,55898,133974,99464,45484,127165,49207,21258
152130,52758,137217,149979,105921,15237,105381,44418,27179,20061,100411,13621
51698,65679,110369,64927,131802,30325,6899,36354,26763,115956,44512,108683
169881,18441,201430,238678,260504,185853,128765,111048,45593,242001,39492,118916
96822,73031,176240,92804,243530,186611,91795,161206,29402,125993,95862,63580
154879,28970,94850,24971,121967,140982,156456,255127,14190,99152,55452,18975
121641,27118,159299,76194,70530,116775,69729,94443,26591,175805,77692,99994
102852,99646,190421,112600,124069,76055,80762,57689,27920,120921,74335,67486
193149,112840,306858,292988,139274,28246,73339,26935,12115,93018,22284,23431
113483,30536,269672,110471,139518,145107,135908,161177,12912,364150,84458,76662
129509,78391,328745,76835,198223,95533,93899,17514,39282,156735,102331,54478
108718,47608,142058,52858,102961,171963,42150,105296,20571,63926,39230,97174
58177,90851,275948,78121,226178,78998,191618,119378,43966,294745,119477,89337
66443,62806,119721,119232,137322,112773,84949,149425,55996,169379,65651,53794
85535,72463,208906,44759,151583,127695,287097,55576,13196,136949,99234,91323
60122,64389,99762,54852,44967,106411,111442,81167,12477,81660,64518,57435
64596,37193,128996,79842,57207,113622,201221,244640,19645,497781,47152,33263
64016,23292,154798,202874,77550,115365,69341,158667,54224,118215,79877,18496
51970,50367,89150,62205,69606,97619,48309,83587,23233,196781,31553,78103
84259,21659,149729,101495,61205,99188,318246,176704,30558,253405,80380,72971
184736,18026,268988,223186,112016,168748,83947,69676,15455,38742,75481,56864
139177,64688,163469,137643,133535,129397,130692,114196,58300,204309,43825,23555
133287,84145,325815,409226,133762,103615,75382,55130,16296,107388,32958,77353
269590,53879,169429,19761,97309,224927,128174,151728,10042,143574,25476,112645
104046,41249,45082,190010,69106,130087,293511,198996,28942,104854,120892,95013
81465,113097,156887,189366,196774,70558,199012,42066,35123,139744,60274,33167
88969,29406,116610,33391,95606,68844,6844,169999,23004,79732,26501,84766
152068,42078,134446,66696,112589,251783,150049,236108,45319,57021,187943,31521
42751,46237,163684,93198,114269,142883,192616,80933,27889,252455,76744,44756
121691,18056,62796,37818,71543,17467,41804,72397,19598,104313,29467,27911
85636,56878,122759,15952,26360,192165,92558,88547,45232,210759,93819,129133
58663,40377,59835,78999,111818,136720,51100,201875,25089,224757,101426,69606
140121,69541,113830,87960,147002,150818,101450,129240,23549,56537,61231,69218
172302,51090,193105,91670,148902,174547,61495,108899,34347,316857,23353,84120
177594,51272,171703,76164,133356,170252,114087,88781,27779,37780,22413,27340
206213,67347,171449,92047,240419,108378,42849,67048,35599,50162,74948,30498
192164,32453,124964,110138,125239,120649,97943,38908,28276,245518,67559,43240
134124,65272,161704,73190,238698,95163,109750,122887,14377,73919,65157,70874
218756,25921,141006,143923,182051,193122,54219,171726,27491,265010,54272,119362
210713,21996,155626,107306,123736,136252,129760,87191,44735,458248,84062,33586
174317,41019,358212,24625,284939,84780,73145,67317,29344,69279,37188,60006
24469,52392,166681,93352,101258,136881,180799,53432,29589,55489,62373,128056
167737,87061,188959,146710,146732,118495,176388,212429,59601,173659,131554,84409
90252,61418,208661,131901,188567,42690,167611,26788,23166,79561,56402,50197
326618,48445,72182,3487,92080,267625,81784,41608,8870,9825,92159,7578
208885,31823,297435,65968,220160,240525,146858,121619,36284,137129,65152,19074
37560,52330,228573,128865,230208,52214,266738,158354,35240,162298,62171,14353
133170,110018,218886,136028,242636,75723,76508,83381,36035,56589,79486,25208
199695,23395,120275,65005,128286,188657,61013,270855,9901,241449,57967,103217
66975,47946,227092,120904,165904,47294,158808,68762,56408,231740,119276,57692
220100,42947,440660,208486,228650,135017,49105,35991,28378,58261,81327,23684
243787,21302,85781,66206,160905,202478,51088,77783,25443,18286,19402,27628
72037,38096,86001,57623,73824,130822,132415,115639,11377,108110,32161,123857
223825,69995,60351,88567,249209,36245,37272,212506,44024,10608,63372,28172
230367,44682,128274,135071,118214,123061,31223,136521,22913,23965,63893,51455
25984,57622,407463,106836,95126,5481,50753,45523,25586,50194,127525,32982
108773,50862,300739,117691,110923,13138,185415,95406,33664,118264,176476,57831
136679,80851,253169,194698,136872,41907,135532,76430,50744,154368,164779,82160
110088,158941,102930,102247,144762,146999,175696,79669,82542,56130,38009,36337
226424,23997,152363,144560,94545,188218,203837,298162,24607,169407,55411,24929
153933,99469,207952,91092,226345,137925,172729,54946,86325,167364,70868,81404
162758,26632,201925,79660,169500,11084,36726,58107,18525,96104,107152,55666
81069,39472,261286,122067,176028,82311,101391,60709,12861,134005,31551,73339
146864,20655,168113,135098,108776,144781,138541,125074,36268,236728,88321,69601
198192,66523,117716,118581,116526,158759,21005,118514,17336,45880,57838,13022
25309,76653,133984,49599,94984,211919,74083,111880,28870,33018,76341,65180
101780,41719,300309,66180,88459,12583,110497,56709,14254,119154,47561,46239
169948,58309,96942,85308,82101,212043,221035,136855,16586,153331,29765,105736
122372,57318,182771,115752,107584,157746,105454,58077,30179,51861,79052,90032
76451,47172,192772,116194,239321,91609,141455,81350,52953,28933,90437,30063
126140,27415,144590,51283,100765,140304,257059,123357,39627,279934,105448,79376
125592,88672,216835,146498,167259,33973,93783,22105,37649,36604,65687,28456
163222,33745,108194,119376,79195,152127,126233,97195,13957,162709,83836,99753
85556,39891,312319,113947,173785,91159,57501,85403,31745,63005,79115,31272
97359,76193,162958,64183,122912,84027,263617,27654,23965,102859,44391,48667
168314,27649,181106,103865,112584,168508,99817,129326,11385,52653,41616,66816
301436,32582,112397,137513,126483,162990,22039,145503,13614,90677,84314,88227
91422,11478,113894,47791,78942,122924,127142,75621,11499,451753,41262,51348
73913,51216,91990,21869,78825,167298,111012,143777,53534,186144,61145,51683
194641,34297,198027,68769,73587,197090,128457,106439,29893,59579,34251,81494
132577,21697,134940,149972,161627,115326,163497,76271,9382,198283,73214,71626
179558,79575,146553,104154,119623,138649,170291,47709,12746,85541,49091,114791
120620,36140,239966,64403,134038,68322,152556,29179,16999,151263,62740,66278
200030,75612,223681,136712,316295,85767,59875,39105,42579,281265,109929,21997
140063,42651,143866,98022,72282,47500,143664,118897,32337,76672,26584,18907
95849,74718,300940,77758,313412,109951,173679,67000,43774,230061,224056,42176
181763,25063,141095,63631,83760,149025,49696,171350,13336,33127,50432,35528
157649,20542,95173,85491,121446,157642,210063,131413,41498,44918,24516,66058
118597,34679,235418,129194,118831,109995,112031,173216,39932,149016,77269,25923
131734,79833,154744,63016,155309,89431,211481,150347,55907,125814,98748,105865
153198,42096,162677,105173,92676,176870,27465,155692,27762,24559,105526,62892
78988,51177,165031,108520,262764,57075,114702,31051,22439,148928,146362,38186
87738,60520,151076,209219,126744,146303,38884,108874,2898,32554,100239,3114
177631,63751,190705,163059,122445,82209,37972,40006,54927,62188,80844,52624
104495,66184,104716,85072,178732,208198,90742,130478,14453,59632,41707,56129
163496,37433,134749,152990,174702,124657,167318,60731,28275,117284,97374,30378
128905,68215,83485,123541,94431,84680,41280,50587,16885,37390,65584,30074
92481,40453,280113,88630,168274,107207,53901,126145,27269,18069,48959,40221
231901,26198,186815,146454,200380,130145,114854,22663,18428,28045,14017,25398
130306,59870,423770,151240,115069,111741,61978,75706,5271,64920,73883,33847
198605,18955,387855,316258,175196,123368,137585,109736,32599,64850,28135,31476
101019,64855,61729,100573,68850,141622,105661,42486,47067,64310,84087,66632
147840,55499,145135,135836,219659,144883,202979,214299,14783,128171,55695,77476
214820,26842,319230,169960,103145,212675,107304,190377,30815,149336,52793,75823
167212,47393,125037,46700,83091,212433,18936,309095,13366,64876,45351,29451
139938,14311,110330,157291,90774,113631,177662,109034,30443,72278,66968,62788
57187,78556,70556,86031,85778,67735,24127,47978,47721,245892,120790,117675
150010,85882,306851,119543,74786,82276,236233,79648,31113,115211,99692,32479
90961,61822,158452,84459,79748,47955,95351,91506,42044,55943,24910,63662
207414,27032,163467,59489,132929,183438,117227,127541,41749,115572,25700,83926
173362,28727,121101,79055,93625,31076,72633,169701,18583,49686,19902,94607
180160,12939,93538,74292,82112,153988,210530,260620,22772,202259,47190,30995
79424,119763,146035,68871,154790,135460,200018,39623,65810,37250,88551,58368
62747,89384,137929,126432,152888,41213,29688,42096,54850,73795,78812,55702
87914,96841,176280,148859,199234,112811,151873,62416,23713,69997,114183,50775
222539,49048,254033,118959,306145,67216,13036,41334,41953,63297,109284,45130
135265,75087,97056,51718,56187,153260,167195,84082,17531,121640,87325,140192
195723,41117,94370,77339,79491,57379,217013,88964,14332,77110,116579,18007
109603,52568,162426,133476,148655,64470,28801,138373,27587,72524,77780,25607
79399,56267,122364,99438,109220,127675,150074,119218,17712,99722,36515,95423
53650,33875,105024,142753,102940,70702,171747,51348,56575,142222,97556,33580
97490,75126,125359,154480,134761,99876,73603,64294,42816,61008,48784,70739
105078,38813,243759,91613,91879,140389,134692,73392,40324,48707,79840,117184
58950,35249,213238,177345,81951,59120,239739,74059,35514,345477,78391,115539
131007,54685,45058,44555,114933,131013,65286,86438,28700,91779,47755,64328
53572,42898,78167,101873,48257,30106,70167,94560,42324,97554,47491,40001
48609,71582,70383,83297,27249,90105,67331,69575,23389,84275,84471,54790
60344,111394,197454,153698,185612,22380,171068,16242,70716,326333,107307,40706
133284,19544,171338,130894,86796,116103,99215,88393,16584,153192,120890,81860
111509,21388,114280,111624,132577,111272,163573,145296,9433,144354,31268,47142
76485,86813,91468,111151,131246,155887,117037,123877,35123,82437,45621,43854
32653,41874,121262,56956,112290,114916,209165,47184,11928,292851,85727,145916
55927,41213,124491,104380,55483,78217,92990,57675,37807,120440,109654,41553
119389,55213,124287,141737,179689,191749,106730,31724,9371,76191,51976,135836
86946,50016,66047,44380,101891,136281,82840,141473,8076,64335,59976,59984
82107,48473,221394,111042,126671,79981,96306,111446,46247,167641,75641,47364
61483,66519,130584,121164,213483,154521,151494,88329,23742,192541,164816,82900
42061,111384,65420,67076,105250,80267,86554,46943,14025,157620,67859,75159
173247,24129,65126,68680,120882,245800,77624,160701,61883,40984,44232,82646
50470,37319,77923,72984,75888,95616,109641,57514,9816,110204,37243,50434
124445,35510,107765,84718,118391,130651,98438,45266,39247,199952,92325,94331
205898,50390,131983,132620,205397,185777,93113,100709,12492,50905,61450,74438
175880,44178,200235,104964,86449,88810,77255,50162,37134,47198,50211,44298
70722,37156,96315,87735,89701,136903,111585,69868,39365,97781,66603,28834
50507,57307,90877,107806,41519,208169,63449,74045,24602,137962,99914,105809
140853,98470,126759,68147,112579,70493,94859,55682,63153,41704,62246,42404
125213,47746,129372,133889,359239,118100,54152,44581,28031,23841,117031,53447
91691,46487,50706,90949,123077,134760,84202,52552,33204,128377,71526,80251
102342,29065,63433,58812,76712,103299,72008,82727,37824,207549,109243,64012
78491,26829,154456,59244,146509,156419,76132,102002,10653,119203,23898,67124
128146,54517,132580,92710,117422,85716,130517,102765,84115,154683,67180,35937
58422,48836,90535,44559,81023,48825,98609,49037,53963,88511,58059,36150
155745,43033,111387,103442,113998,168576,118171,161224,17751,229005,82216,86745
249450,196420,165323,71816,91749,20882,83814,19735,3523,38478,33891,4514
116385,23763,174044,71151,121970,151318,85824,112027,14323,326504,54802,73998
65390,36472,105503,55067,80970,59125,65608,31590,31543,109714,38500,38522
48564,81018,47110,73327,74436,89374,49975,69202,40384,242793,41885,57599
44768,52847,114786,40239,85146,65575,176559,162354,49488,180199,96540,95704
100563,86662,220124,196875,82967,177129,114248,137078,13459,87463,107594,82688
188204,24714,152179,138131,74543,220649,198431,64079,45109,49392,73608,34473
70099,48495,76247,53006,82090,174473,120570,129903,18060,93135,266090,87079
74474,120809,104361,118883,96364,95825,67038,55544,64836,101449,127879,33473
35372,81911,102327,112877,143489,37985,282641,85624,14322,143806,82435,62817
35404,33842,47054,25407,57206,12589,28764,41551,4638,22078,37892,4989
104429,23800,89598,101740,90800,93685,51686,186495,40547,116354,53782,64190
58188,41382,176220,98070,87755,92712,94631,82731,34573,132098,110801,65957
69682,48596,83996,32895,28286,21757,49022,76793,39251,117452,48329,91526
28055,18480,76175,71936,23544,105731,41221,34935,24046,54593,33733,9681
148581,47990,263172,72402,194971,73905,91764,23728,35314,195039,49919,35007
70847,95161,98043,48507,42718,109847,47717,215503,20757,24958,61779,54266
90359,48738,124447,90256,184469,59165,95015,87168,5738,105186,57348,9459
53399,24196,77112,94619,33566,57620,155466,63789,39030,46032,52787,21259
87353,37369,157601,100440,126507,125188,203492,84682,25912,177894,103344,110921
134583,91728,164501,70091,155974,149390,119032,60116,38991,59262,98587,25832
49195,75674,98679,42543,77856,78443,67933,37438,11087,59660,128135,62741
86117,37743,144242,113294,154901,38264,203530,33608,26600,292214,73274,89914
179150,63932,81590,116641,99079,98652,91123,119132,14876,159469,70019,93699
73358,51656,138282,120777,77955,41822,192720,40261,45267,132359,143004,58870
47993,53803,151813,35032,142924,23339,110195,36357,62955,100190,51470,26457
41406,25613,122538,43259,166620,70846,71017,23955,13402,52154,67449,9918
96077,37120,77247,62334,116480,105979,32975,110980,35749,102347,45216,76020
98176,34602,40220,78718,99425,121685,118729,79041,10148,62593,31617,71281
40976,51471,69617,49300,84433,55605,59829,65796,18650,97800,159937,60025
48384,54408,110955,71414,103090,58277,87858,8683,10834,33543,45763,26351
55598,59814,105118,98668,125122,92902,131836,19806,54990,281242,221562,45591
133901,38961,176045,122558,216323,79079,145452,66805,16419,132208,219182,55980
88244,79186,148064,82206,292212,88239,148925,44624,10134,97344,160722,21875
44473,54272,84040,83133,119160,39671,55372,14849,24125,83433,103240,21573
146509,17066,176391,246503,324358,126687,231730,36147,103707,160256,69358,52708
24569,16426,47440,24412,58124,13226,15070,63510,5515,21900,39064,7146
192785,49544,121464,94397,239589,204719,126395,128624,11139,136931,45427,81524
108050,117999,114322,95138,103004,136510,224666,71974,64517,436024,179555,72009
90097,165000,45583,44049,117431,104647,78190,32092,25321,73898,115594,65768
90532,47070,100276,107203,131530,152419,97353,136719,38209,98201,46922,87499
109732,69323,148242,52020,76237,147361,217388,116389,38332,91183,27840,82497
96941,18405,111327,102268,174564,116981,131979,82480,22642,245085,118778,66505
41126,41520,56946,73124,96400,33609,39446,27626,22168,62594,76660,29898
241232,95695,232623,180446,200780,38568,138624,31248,42834,83457,61879,12820
94119,32378,69988,40623,81616,58240,233655,145114,43393,106391,24719,55079
45106,21142,58373,80715,77010,23877,24961,70026,47016,41388,29309,27265
97281,28850,139898,83352,89086,125354,149814,54029,66947,340080,96590,87559
70290,70504,92074,75686,98509,98481,70842,181043,16234,152412,34606,62739
196365,34572,258844,94340,67720,78175,111054,63734,64101,72820,100144,52344
104269,49331,100642,92924,121485,200505,202706,126853,40886,26943,27761,66541
178530,21088,92443,97896,82193,197575,132172,297454,13822,217565,98717,27480
153468,43520,70900,170296,73795,179587,89493,124673,23524,68309,39102,78005
211106,22400,128046,240385,126416,174522,68773,99459,19074,64119,53997,64396
128262,16335,162331,122530,127414,162346,97684,101644,14584,33925,53284,37598
95797,43246,132758,66197,68994,63190,160940,172884,11364,287803,43231,158025
30976,23341,66422,69907,33829,22751,62412,39577,4205,65362,41805,17651
272919,27314,73274,89666,115463,69636,83028,108322,16856,119222,48684,66595
66093,54585,71234,38220,40529,54329,144866,48859,4021,41362,54258,23969
74961,59796,155232,224532,1743,110846,113968,160979,49308,125766,68231,2392
139877,64351,198692,98120,232969,81040,87178,40639,58215,70205,66884,51439
150250,71301,100665,75849,92681,137134,101229,75155,15213,78283,52912,54012
46097,47934,119734,122597,66206,114069,92054,41146,18322,105582,138521,89679
33230,21140,70593,45284,52607,85465,48186,89848,10946,100573,33468,45858
109707,83523,213550,168751,327957,84340,62326,127196,44847,144354,135242,27839
66707,50584,131917,137389,136807,95348,277715,128341,25564,116114,64560,64019
143651,67523,74085,109449,57849,165831,118960,158548,23432,279840,83225,158095
130303,22462,92769,73540,144766,106651,116962,154824,45385,102988,56720,27350
169902,21687,90761,51828,92956,162501,162877,304209,17243,69458,51159,12195
58272,17108,117138,106647,169505,45717,228013,55785,34018,141569,76792,54765
172876,31499,112631,122296,226586,186361,132672,148376,38670,101901,49075,23812
91194,23720,146019,179768,151687,67567,44383,27944,20243,478143,137866,13238
57935,47245,128707,56120,55598,81526,68319,25510,33474,80559,98163,26320
78530,115434,109011,53786,100677,75174,326520,20278,48910,207499,64368,81148
124362,35601,97942,63977,180217,177745,182501,247642,13424,113903,41813,119465
121150,23079,116977,53040,68605,113383,32210,28336,45583,70268,98309,41583
150635,94333,194316,53079,128941,72698,166509,57416,37657,75724,61336,63925
47330,15858,58031,21669,62308,20802,17227,82517,10989,18099,20873,48696
